Category,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,roi/times,roi/currency,roi/percentage
Arbitrum,stargate-finance,stg,Stargate Finance,https://assets.coingecko.com/coins/images/24413/large/STG_LOGO.png?1647654518,0.690083,116308999,246,690168036,32055586,0.72945,0.669282,-0.0386227834,-5.30019,-6446373.831,-5.2514,168522726.2,1000000000,1000000000,4.27,-83.7855,2022-04-02T00:14:46.025Z,0.00544213,12617.94978,2022-03-19T14:38:41.034Z,,2023-03-09T12:16:24.691Z,-0.4781838748,,,
Arbitrum,magic-internet-money,mim,Magic Internet Money,https://assets.coingecko.com/coins/images/16786/large/mimlogopng.png?1624979612,0.990442,112851107,253,698476903,1759665,0.997266,0.985035,-0.001564548674,-0.15772,-841015.5344,-0.73973,113909040.1,705024842,,1.041,-4.75982,2021-10-06T13:25:17.751Z,0.914706,8.39574,2022-06-18T08:04:42.922Z,,2023-03-09T12:16:26.437Z,-0.03549786178,,,
Arbitrum,kyber-network-crystal,knc,Kyber Network Crystal,https://assets.coingecko.com/coins/images/14899/large/RwdVsGcw_400x400.jpg?1618923851,0.685617,110626161,260,154938659,27339008,0.70808,0.667916,-0.02246357538,-3.17246,-4072662.965,-3.55075,161363938.4,223852217.7,226000000,5.7,-88.00345,2022-04-29T00:29:36.976Z,0.448272,52.41108,2022-12-31T06:35:18.917Z,,2023-03-09T12:16:17.443Z,0.04345859539,,,
Arbitrum,celer-network,celr,Celer Network,https://assets.coingecko.com/coins/images/4379/large/Celr.png?1554705437,0.01613948,91132146,293,161425690,8065556,0.01643596,0.0154761,-0.0002964806466,-1.80385,-1558801.648,-1.68172,5645454936,10000000000,10000000000,0.194843,-91.68656,2021-09-26T06:49:04.741Z,0.00095575,1594.82201,2020-03-13T02:24:17.287Z,,2023-03-09T12:16:25.172Z,0.3762804561,1.408877363,usd,140.8877363
Arbitrum,cartesi,ctsi,Cartesi,https://assets.coingecko.com/coins/images/11038/large/cartesi.png?1592288021,0.13353,88617291,298,133330757,7150617,0.137546,0.129147,-0.003877233435,-2.82171,-2651152.126,-2.90479,664642524.3,1000000000,1000000000,1.74,-92.32776,2021-05-09T00:43:41.306Z,0.02670608,401.07378,2020-05-10T04:49:27.744Z,,2023-03-09T12:16:24.947Z,-0.3297525764,,,
Arbitrum,coti,coti,COTI,https://assets.coingecko.com/coins/images/2962/large/Coti.png?1559653863,0.073716,86980925,307,147892633,8378986,0.07682,0.071894,-0.003080623934,-4.01139,-3384229.147,-3.74506,1176271233,2000000000,2000000000,0.668634,-88.8933,2021-09-29T11:39:21.397Z,0.00556342,1234.84836,2019-11-07T10:29:26.372Z,,2023-03-09T12:16:24.170Z,-0.1768106487,0.1340967907,usd,13.40967907
Arbitrum,dopex,dpx,Dopex,https://assets.coingecko.com/coins/images/16652/large/DPX_%281%29.png?1624598630,320.65,79186116,321,160305471,1183278,337.26,306.29,-14.80139113,-4.41239,-3711309.788,-4.47699,246985.0706,500000,500000,4215.41,-92.41041,2022-01-15T20:54:31.557Z,88.04,263.38538,2021-06-26T08:59:55.161Z,,2023-03-09T12:16:21.139Z,4.500667355,,,
Arbitrum,spell-token,spell,Spell,https://assets.coingecko.com/coins/images/15861/large/abracadabra-3.png?1622544862,0.00068441,77748962,330,143777604,5401177,0.00070317,0.00066949,-0.00001876615185,-2.66878,-1276928.966,-1.61584,113559285199,196008739620,210000000000,0.03506357,-98.0445,2021-11-02T08:44:42.429Z,0.00029812,129.99399,2021-08-05T13:00:27.077Z,,2023-03-09T12:16:16.620Z,0.2325625634,,,
Arbitrum,joe,joe,JOE,https://assets.coingecko.com/coins/images/17569/large/joe_200x200.png?1628497750,0.224434,75496112,339,112199491,4241872,0.236057,0.221303,-0.01162246133,-4.92359,-3914575.683,-4.92953,336436965.6,476437634.4,500000000,5.09,-95.58387,2021-11-21T14:27:00.202Z,0.02658814,744.9366,2021-08-11T14:01:35.223Z,,2023-03-09T12:16:18.895Z,0.2950146229,,,
Arbitrum,dodo,dodo,DODO,https://assets.coingecko.com/coins/images/12651/large/dodo_logo.png?1601433025,0.175142,73196128,345,175121910,16869123,0.185385,0.170786,-0.01024330594,-5.52542,-4392789.72,-5.66162,417972417.2,1000000000,1000000000,8.38,-97.90293,2021-02-20T09:19:28.624Z,0.091534,91.92069,2022-12-30T15:15:34.484Z,,2023-03-09T12:16:29.261Z,0.6540278595,,,
Arbitrum,perpetual-protocol,perp,Perpetual Protocol,https://assets.coingecko.com/coins/images/12381/large/60d18e06844a844ad75901a9_mark_only_03.png?1628674771,0.896972,60886694,384,134138126,22351768,0.972727,0.880894,-0.06930470342,-7.17234,-4923001.574,-7.48066,68086564.72,150000000,150000000,24.4,-96.33981,2021-08-30T15:06:09.177Z,0.31639,182.28604,2022-11-09T22:15:25.656Z,,2023-03-09T12:16:22.525Z,0.2719824841,,,
Arbitrum,radiant-capital,rdnt,Radiant Capital,https://assets.coingecko.com/coins/images/26536/large/Radiant-Logo-200x200.png?1658715865,0.263057,60307270,387,263276168,5081147,0.276213,0.260648,-0.01315565893,-4.76287,-2847045.273,-4.50808,229064675.5,269334702.8,1000000000,0.585268,-55.07894,2022-09-16T14:56:05.640Z,0.011166,2254.54383,2022-10-20T16:54:09.115Z,,2023-03-09T12:16:31.587Z,0.2518734008,,,
Arbitrum,badger-dao,badger,Badger DAO,https://assets.coingecko.com/coins/images/13287/large/badger_dao_logo.jpg?1607054976,2.91,55682578,401,61386696,5794624,3.02,2.87,-0.09701576094,-3.22885,-1628007.892,-2.84068,19048657.33,21000000,21000000,89.08,-96.71697,2021-02-09T01:03:21.398Z,2.07,41.40027,2022-12-29T02:26:37.789Z,,2023-03-09T12:16:24.078Z,0.5120147163,,,
Arbitrum,premia,premia,Premia,https://assets.coingecko.com/coins/images/13962/large/apple-touch-icon.png?1623679482,0.759467,48122027,442,75946697,85308,0.764279,0.743137,0.00622944,0.82702,390400,0.81791,63362896.36,100000000,100000000,5.79,-86.87873,2021-10-26T03:05:54.595Z,0.203602,273.43188,2021-07-18T23:42:26.586Z,,2023-03-09T12:16:24.346Z,0.053134668,,,
Arbitrum,idia,idia,Impossible Finance Launchpad,https://assets.coingecko.com/coins/images/17803/large/IDIA.png?1629292292,0.066932,46712333,455,67070325,40193,0.067988,0.065382,-0.0004707399815,-0.6984,-100491.2395,-0.21467,696467975.3,1000000000,1000000000,3.51,-98.10125,2021-11-26T21:54:44.386Z,0.02928448,127.38401,2023-01-07T12:25:36.716Z,,2023-03-09T12:16:08.480Z,-1.43935648,,,
Arbitrum,lyra-finance,lyra,Lyra Finance,https://assets.coingecko.com/coins/images/21490/large/Add-a-heading-26.png?1639364177,0.154121,45292631,464,154141945,323915,0.159901,0.15228,-0.005367364824,-3.36537,-1624918.655,-3.46335,293837155.7,1000000000,1000000000,0.677963,-77.24176,2021-12-18T05:18:54.016Z,0.03389914,355.15159,2022-06-18T20:52:17.800Z,,2023-03-09T12:16:30.502Z,-0.1900497469,,,
Arbitrum,dopex-rebate-token,rdpx,Dopex Rebate,https://assets.coingecko.com/coins/images/16659/large/rDPX_200x200_Coingecko.png?1624614475,30.93,41603432,487,64604317,1357804,35.99,30.48,-5.035427989,-14.00004,-6974615.908,-14.35755,1353117.044,2101201.71,,315.58,-90.19343,2022-01-16T06:41:22.098Z,1.78,1642.72334,2021-07-20T13:45:09.561Z,,2023-03-09T12:16:28.944Z,0.5113303895,,,
Arbitrum,mimatic,mimatic,MAI,https://assets.coingecko.com/coins/images/15264/large/mimatic-red.png?1620281018,1,41239149,491,306839614,15343614,1.003,0.99205,0.00378325,0.37959,-4550721.102,-9.93827,41216902.86,306674091.3,,1.35,-26.0469,2021-05-29T21:51:31.732Z,0.809109,23.76957,2022-01-24T14:55:16.883Z,,2023-03-09T12:16:23.968Z,-0.00989948863,,,
Arbitrum,barnbridge,bond,BarnBridge,https://assets.coingecko.com/coins/images/12811/large/barnbridge.jpg?1602728853,4.27,33730319,556,42741537,2376648,4.39,4.18,-0.1179435812,-2.6898,-846085.6129,-2.447,7891695.336,10000000,10000000,185.69,-97.69319,2020-10-27T00:36:32.813Z,2.2,94.9176,2022-06-18T20:12:03.498Z,,2023-03-09T12:16:31.045Z,0.1862641252,,,
Arbitrum,ageur,ageur,agEUR,https://assets.coingecko.com/coins/images/19479/large/agEUR.png?1635283566,1.056,33703952,557,,2813923,1.058,1.048,0.00143704,0.13626,60381,0.17947,31912036.03,31912036.03,,1.2,-11.79451,2022-02-07T07:32:13.679Z,0.896002,17.89513,2022-10-23T17:10:42.962Z,,2023-03-09T12:16:23.499Z,-0.02593036275,,,
