,Kline open time,Coin,Open price,Daily Open price pct_change,High price,Daily High price pct_change,Low price,Daily Low price pct_change,Close price,Daily Close price pct_change
0,2022-11-05,PLA/USDT,0.306,,0.318,,0.301,,0.309,
1,2022-11-06,PLA/USDT,0.31,0.013071895424836555,0.311,-0.022012578616352196,0.296,-0.01661129568106312,0.298,-0.035598705501618144
2,2022-11-07,PLA/USDT,0.297,-0.041935483870967794,0.316,0.016077170418006492,0.287,-0.030405405405405483,0.295,-0.010067114093959773
3,2022-11-08,PLA/USDT,0.295,-0.006734006734006703,0.3,-0.05063291139240511,0.233,-0.18815331010452951,0.25,-0.15254237288135586
4,2022-11-09,PLA/USDT,0.25,-0.15254237288135586,0.252,-0.15999999999999992,0.171,-0.2660944206008583,0.181,-0.276
5,2022-11-10,PLA/USDT,0.179,-0.28400000000000003,0.216,-0.1428571428571429,0.175,0.023391812865496853,0.212,0.1712707182320441
6,2022-11-11,PLA/USDT,0.212,0.18435754189944142,0.27,0.25,0.187,0.06857142857142873,0.204,-0.037735849056603765
7,2022-11-12,PLA/USDT,0.203,-0.04245283018867918,0.223,-0.17407407407407416,0.194,0.03743315508021383,0.197,-0.034313725490195957
8,2022-11-13,PLA/USDT,0.198,-0.024630541871921152,0.203,-0.08968609865470845,0.181,-0.06701030927835061,0.186,-0.055837563451776706
9,2022-11-14,PLA/USDT,0.187,-0.05555555555555558,0.191,-0.059113300492610876,0.169,-0.0662983425414364,0.188,0.010752688172043001
10,2022-11-15,PLA/USDT,0.188,0.005347593582887722,0.2,0.04712041884816753,0.184,0.08875739644970415,0.194,0.03191489361702127
11,2022-11-16,PLA/USDT,0.194,0.03191489361702127,0.199,-0.0050000000000000044,0.185,0.005434782608695565,0.191,-0.015463917525773252
12,2022-11-17,PLA/USDT,0.192,-0.010309278350515427,0.193,-0.03015075376884424,0.184,-0.005405405405405461,0.19,-0.005235602094240788
13,2022-11-18,PLA/USDT,0.19,-0.01041666666666663,0.25,0.2953367875647668,0.188,0.021739130434782705,0.196,0.03157894736842115
14,2022-11-19,PLA/USDT,0.196,0.03157894736842115,0.229,-0.08399999999999996,0.19,0.010638297872340496,0.203,0.03571428571428581
15,2022-11-20,PLA/USDT,0.203,0.03571428571428581,0.214,-0.06550218340611358,0.187,-0.015789473684210575,0.19,-0.0640394088669951
16,2022-11-21,PLA/USDT,0.189,-0.06896551724137934,0.198,-0.07476635514018681,0.181,-0.03208556149732622,0.187,-0.015789473684210575
17,2022-11-22,PLA/USDT,0.187,-0.010582010582010581,0.204,0.030303030303030276,0.182,0.005524861878453136,0.201,0.07486631016042788
18,2022-11-23,PLA/USDT,0.202,0.0802139037433156,0.255,0.25,0.201,0.10439560439560447,0.216,0.07462686567164178
19,2022-11-24,PLA/USDT,0.217,0.0742574257425741,0.218,-0.14509803921568631,0.199,-0.00995024875621886,0.209,-0.03240740740740744
